0 618 585 628 575
0 666 596 676 586
0 701 699 711 689
0 795 725 805 715
0 811 698 821 688
0 885 712 895 702
0 914 714 924 704
0 951 717 961 707
0 815 568 825 558
0 702 552 712 542
0 434 758 444 748
0 354 627 364 617
0 420 265 430 255
0 451 435 461 425
0 624 296 634 286
0 640 251 650 241
0 640 231 650 221
0 727 218 737 208
0 646 138 656 128
0 607 67 617 57
0 559 113 569 103
0 636 110 646 100
0 547 23 557 13
0 517 25 527 15
0 944 441 954 431
0 984 517 994 507
0 982 534 992 524
0 981 579 991 569
0 888 319 898 309
0 829 233 839 223
0 867 186 877 176
0 850 206 860 196
0 875 265 885 255
0 317 239 327 229
0 309 186 319 176
