0 292 221 302 211
0 187 190 197 180
0 296 85 306 75
0 361 79 371 69
0 435 64 445 54
0 524 80 534 70
0 580 149 590 139
0 551 125 561 115
0 551 22 561 12
0 382 241 392 231
0 543 319 553 309
0 589 319 599 309
0 596 350 606 340
0 564 358 574 348
0 557 403 567 393
0 624 412 634 402
0 642 422 652 412
0 662 438 672 428
0 700 462 710 452
0 692 511 702 501
0 658 542 668 532
0 560 599 570 589
0 531 636 541 626
0 512 686 522 676
0 492 721 502 711
0 467 748 477 738
0 440 735 450 725
0 466 776 476 766
0 652 779 662 769
0 698 652 708 642
0 901 772 911 762
0 960 620 970 610
0 913 577 923 567
0 913 605 923 595
0 1073 568 1083 558
0 967 489 977 479
0 869 388 879 378
0 952 305 962 295
0 984 236 994 226
0 1006 190 1016 180
0 880 266 890 256
0 849 326 859 316
0 817 303 827 293
0 841 209 851 199
0 479 566 489 556
0 467 586 477 576
0 476 463 486 453
0 337 467 347 457
0 315 509 325 499
0 261 490 271 480
0 228 498 238 488
0 228 466 238 456
0 246 459 256 449
0 166 468 176 458
0 174 426 184 416
0 249 596 259 586
0 295 623 305 613
0 265 608 275 598
0 993 487 1003 477
