1.000000000000000000e+00 7.821740878169450752e+02 4.217003710575139053e+02
2.000000000000000000e+00 7.371209029066174026e+02 4.264635126777984055e+02
3.000000000000000000e+00 6.030664811379099319e+02 3.581468769325912263e+02
4.000000000000000000e+00 5.953559059987633191e+02 4.115686456400742372e+02
5.000000000000000000e+00 6.104350649350651565e+02 2.797510822510822663e+02
6.000000000000000000e+00 6.253824984539271554e+02 2.332767470624613679e+02
7.000000000000000000e+00 7.435946196660484020e+02 2.179607297464440308e+02
8.000000000000000000e+00 7.495420531849104009e+02 5.616914038342622462e+01
9.000000000000000000e+00 6.649094001236860549e+02 1.058277674706247353e+02
1.000000000000000000e+01 6.075401978973409314e+02 7.714316635745217354e+01
1.100000000000000000e+01 6.003559059987633191e+02 4.451113172541749918e+01
1.200000000000000000e+01 4.684857761286334039e+02 2.780405071119357672e+02
1.300000000000000000e+01 3.809056895485468317e+02 3.057251082251082153e+02
1.400000000000000000e+01 2.631147186147186972e+02 3.559625850340136139e+02
1.500000000000000000e+01 2.701147186147186972e+02 4.732798392084106354e+02
1.600000000000000000e+01 4.244851576994435050e+02 5.600442176870748199e+02
1.700000000000000000e+01 3.431419294990724325e+02 6.085185528756957183e+02
1.800000000000000000e+01 7.497263450834880132e+02 7.477572665429808012e+02
